Time,Strain
-1.186035155375,-1.072830882230492e-23
-1.18579101475,-1.0448550640396922e-23
-1.185546874125,-1.0156664629956032e-23
-1.1853027335,-9.852834683130755e-24
-1.185058592875,-9.537288112492719e-24
-1.18481445225,-9.210297106921594e-24
-1.184570311625,-8.872172400208206e-24
-1.184326171,-8.52325092288924e-24
-1.184082030375,-8.163880829465257e-24
-1.18383788975,-7.794407775193635e-24
-1.183593749125,-7.415165573292578e-24
-1.1833496085,-7.02647289644679e-24
-1.183105467875,-6.628636125236046e-24
-1.18286132725,-6.221957153056942e-24
-1.182617186625,-5.806744045622658e-24
-1.182373046,-5.383322035193101e-24
-1.182128905375,-4.952042491124943e-24
-1.18188476475,-4.5132881281789235e-24
-1.181640624125,-4.067473491307684e-24
-1.1813964835,-3.6150404773655364e-24
-1.181152342875,-3.156449442347513e-24
-1.18090820225,-2.6921674582939965e-24
-1.180664061625,-2.22265633082901e-24
-1.180419921,-1.748363440614401e-24
-1.180175780375,-1.2697178486745446e-24
-1.17993163975,-7.871325489470805e-25
-1.179687499125,-3.0101198650253444e-25
-1.1794433585,1.8823732358439346e-25
-1.179199217875,6.801958135926136e-25
-1.17895507725,1.1744222131329527e-24
-1.178710936625,1.6704493670815576e-24
-1.178466796,2.167785583646597e-24
-1.178222655375,2.6659211496079543e-24
-1.17797851475,3.1643383190287537e-24
-1.177734374125,3.6625222989177474e-24
-1.1774902335,4.1599706678362375e-24
-1.177246092875,4.656199129147348e-24
-1.17700195225,5.1507423822992086e-24
-1.176757811625,5.643150111911841e-24
-1.176513671,6.132979451963865e-24
-1.176269530375,6.619786255234584e-24
-1.17602538975,7.103117593853153e-24
-1.175781249125,7.58250712515152e-24
-1.1755371085,8.057473869664896e-24
-1.175292967875,8.52752420320083e-24
-1.17504882725,8.992156598135682e-24
-1.174804686625,9.450868485840056e-24
-1.174560546,9.90316422153511e-24
-1.174316405375,1.0348562635740492e-23
-1.17407226475,1.0786602453269444e-23
-1.173828124125,1.1216844195933235e-23
-1.1735839835,1.1638867983905551e-23
-1.173339842875,1.205226766511488e-23
-1.17309570225,1.2456642727680877e-23
-1.172851561625,1.2851590224128994e-23
-1.172607421,1.3236699084387178e-23
-1.172363280375,1.361154849076744e-23
-1.17211913975,1.397571065377858e-23
-1.171874999125,1.4328757021787772e-23
-1.1716308585,1.4670266249278834e-23
-1.171386717875,1.499983216404827e-23
-1.17114257725,1.531707016897232e-23
-1.170898436625,1.5621620755673553e-23
-1.170654296,1.591314926994561e-23
-1.170410155375,1.6191341970767896e-23
-1.17016601475,1.645589957134442e-23
-1.169921874125,1.670653026550406e-23
-1.1696777335,1.694294427442992e-23
-1.169433592875,1.7164851264194925e-23
-1.16918945225,1.7371961029677585e-23
-1.168945311625,1.7563987009594805e-23
-1.168701171,1.7740651641447772e-23
-1.168457030375,1.790169232186588e-23
-1.16821288975,1.8046866840768523e-23
-1.167968749125,1.817595751828068e-23
-1.1677246085,1.8288773614239784e-23
-1.167480467875,1.838515166328046e-23
-1.16723632725,1.8464953351945138e-23
-1.166992186625,1.8528060845565498e-23
-1.166748046,1.85743703269571e-23
-1.166503905375,1.8603785515165586e-23
-1.16625976475,1.8616213328654607e-23
-1.166015624125,1.8611563214302817e-23
-1.1657714835,1.8589750334658434e-23
-1.165527342875,1.8550701536865585e-23
-1.16528320225,1.8494362374857657e-23
-1.165039061625,1.8420703408165352e-23
-1.164794921,1.8329724350117008e-23
-1.164550780375,1.8221455210468758e-23
-1.16430663975,1.8095954317835593e-23
-1.164062499125,1.7953303841266273e-23
-1.1638183585,1.7793603945647803e-23
-1.163574217875,1.761696689864267e-23
-1.16333007725,1.742351243450903e-23
-1.163085936625,1.721336551094303e-23
-1.162841796,1.6986657146412947e-23
-1.162597655375,1.6743528154245457e-23
-1.16235351475,1.6484134552623037e-23
-1.162109374125,1.6208652859263298e-23
-1.1618652335,1.5917283792869764e-23
-1.161621092875,1.5610253855208086e-23
-1.16137695225,1.528781509365393e-23
-1.161132811625,1.4950243519375558e-23
-1.160888671,1.4597836351544737e-23
-1.160644530375,1.4230908059610898e-23
-1.16040038975,1.3849785465387436e-23
-1.160156249125,1.345480276171065e-23
-1.1599121085,1.3046297754738271e-23
-1.159667967875,1.2624610604123443e-23
-1.15942382725,1.219008575577872e-23
-1.159179686625,1.1743076763259619e-23
-1.158935546,1.1283952585615718e-23
-1.158691405375,1.0813103237050483e-23
-1.15844726475,1.0330942834380402e-23
-1.158203124125,9.837909154417161e-24
-1.1579589835,9.33446017558277e-24
-1.157714842875,8.821068907541481e-24
-1.15747070225,8.298217824724341e-24
-1.157226561625,7.766393805148555e-24
-1.156982421,7.226084251790929e-24
-1.156738280375,6.677775130764913e-24
-1.15649413975,6.121951577245996e-24
-1.156249999125,5.55910110705769e-24
-1.1560058585,4.989718510150315e-24
-1.155761717875,4.414310799876463e-24
-1.15551757725,3.833400594695459e-24
-1.155273436625,3.2475269797238317e-24
-1.155029296,2.6572438332924074e-24
-1.154785155375,2.0631163874962265e-24
-1.15454101475,1.4657171403590062e-24
-1.154296874125,8.656220432808892e-25
-1.1540527335,2.6340730231855178e-25
